Data,dji_r,dji_p
2000-09-29,-0.0161307339273924,10650.9
2000-10-04,0.0124655224531231,10784.5
2000-10-05,-0.00554177731900398,10724.9
2000-10-10,-0.0188717699437014,10524.4
2000-10-11,-0.0105645211777545,10413.8
2000-10-13,-0.0215091277686485,10192.2
2000-10-17,-0.0101076203560077,10089.7
2000-10-18,-0.0114311337287273,9975.02
2000-10-19,0.0166998446074101,10143
2000-10-20,0.00820835651101511,10226.6
2000-10-24,0.016149955515989,10393.1
2000-10-25,-0.00642871767529517,10326.5
2000-11-07,0.0588269425785891,10952.2
2000-11-08,-0.00412639599563252,10907.1
2000-11-09,-0.00670615586077125,10834.2
2000-11-10,-0.0215708175240916,10603
2000-11-13,-0.0081249677566929,10517.2
2000-11-14,0.015463812296012,10681.1
2000-11-16,-0.00235271068494712,10656
2000-11-17,-0.00245232882614946,10629.9
2000-11-21,-0.0128194745683501,10494.5
2000-11-22,-0.00911281421377887,10399.3
2000-11-27,0.0140176271417254,10546.1
2000-11-28,-0.00365731846797354,10507.6
2000-11-29,0.0114967178664678,10629.1
2000-11-30,-0.0203964568506736,10414.5
2000-12-04,0.0138836820509472,10560.1
2000-12-05,0.0315607681370428,10898.7
2000-12-07,-0.0261493513193525,10617.4
2000-12-11,0.010157889358884,10725.8
2000-12-13,0.00637542702761817,10794.4
2000-12-14,-0.0111229220197522,10675
2000-12-15,-0.0227390185855241,10435
2000-12-18,0.0199623334372203,10645.4
2000-12-19,-0.00574665497292747,10584.4
2000-12-20,-0.0254040537683539,10318.9
2000-12-21,0.0161878360645691,10487.3
2000-12-22,0.0140418632605436,10635.6
2000-12-28,0.0216894349046848,10868.8
2001-01-04,0.00400345786585417,10912.4
2001-01-05,-0.0232137389201852,10662
2001-01-09,-0.0084297280360627,10572.5
2001-01-10,0.00300328887294741,10604.3
2001-01-12,-0.00746819564057744,10525.4
2001-01-16,0.0120219975542678,10652.7
2001-01-17,-0.00644161006899071,10584.3
2001-01-19,0.000311733951768609,10587.6
2001-01-22,-0.000888225403056407,10578.2
2001-01-23,0.00674583300551114,10649.8
2001-01-30,0.0214954168271176,10881.2
2001-01-31,0.000569627827939696,10887.4
2001-02-01,0.0087970939051625,10983.6
2001-02-02,-0.0109394757098067,10864.1
2001-02-06,0.00855125161310274,10957.4
2001-02-07,-0.000976986121419821,10946.7
2001-02-08,-0.00606584472426279,10880.5
2001-02-09,-0.00914049388562694,10781.5
2001-02-14,0.00128841510345301,10795.4
2001-02-15,0.00881664262151298,10891
2001-02-16,-0.00840914465336388,10799.8
2001-02-20,-0.00640018533462703,10730.9
2001-02-21,-0.0192220430884557,10526.6
2001-02-22,0.0000189993065257039,10526.8
2001-02-23,-0.00809782809056759,10441.9
2001-03-01,0.00078498950996339,10450.1
2001-03-02,0.00154902404231049,10466.3
2001-03-05,0.00913048580744717,10562.3
2001-03-08,0.0276294973192915,10858.2
2001-03-09,-0.0198678335995525,10644.6
2001-03-12,-0.0418614024255278,10208.2
2001-03-13,0.00805897332081713,10290.8
2001-03-14,-0.0313227273155353,9973.46
2001-03-19,-0.00143985471809984,9959.11
2001-03-22,-0.0588977965491929,9389.48
2001-03-23,0.0122049163347615,9504.78
2001-03-26,0.0190446614891204,9687.53
2001-03-27,0.02648579297283,9947.54
2001-03-28,-0.016438915179115,9785.35
2001-03-29,0.00140009346613951,9799.06
2001-04-03,-0.0325000070889747,9485.71
2001-04-04,0.00312718498445926,9515.42
2001-04-06,0.0285591478406919,9791.09
2001-04-09,0.00550615969061244,9845.15
2001-04-10,0.0258237667189557,10102.7
2001-04-11,-0.00886853229112162,10013.5
2001-04-17,0.0200894537881877,10216.7
2001-04-18,0.0383198210133461,10615.8
2001-04-19,0.00731132565427321,10693.7
2001-04-20,-0.0107082603593526,10579.8
2001-04-23,-0.00450929146049821,10532.2
2001-04-24,-0.00742385417090634,10454.3
2001-04-26,0.0225104792160444,10692.3
2001-04-27,0.0109477754066812,10810
2001-05-02,0.00615125494572591,10876.7
2001-05-08,0.000624994275912015,10883.5
2001-05-09,-0.00151720679204017,10867
2001-05-10,0.00398578870353684,10910.4
2001-05-11,-0.00820004870878686,10821.3
2001-05-14,0.00516163479040026,10877.3
2001-05-15,-0.000395396850252203,10873
2001-05-16,0.0310497624023535,11215.9
2001-05-17,0.00291126204416646,11248.6
2001-05-18,0.00470948041870402,11301.7
2001-05-22,-0.00394523294306769,11257.2
2001-05-23,-0.0135674428413421,11105.5
2001-05-29,-0.00599696530968524,11039.1
2001-05-30,-0.0151976528227112,10872.6
2001-05-31,0.00360807387221055,10911.9
2001-06-01,0.00716822764123953,10990.4
2001-06-05,0.016728561826718,11175.8
2001-06-06,-0.0094939128995208,11070.2
2001-06-07,0.00185010589348259,11090.7
2001-06-08,-0.0103047445929804,10977
2001-06-12,-0.0026088478405113,10948.4
2001-06-13,-0.007039442451305,10871.6
2001-06-15,-0.0230759429904965,10623.6
2001-06-19,-0.00253530952992842,10596.7
2001-06-20,0.00476370699382193,10647.3
2001-06-21,0.00637562018661185,10715.4
2001-06-26,-0.0229291852343191,10472.5
2001-06-27,-0.00360639976093352,10434.8
2001-06-28,0.0125138531238913,10566.2
2001-06-29,-0.00605642472843057,10502.4
2001-07-03,0.0065200601111686,10571.1
2001-07-05,-0.0086647257221104,10479.9
2001-07-10,-0.029466439213559,10175.6
2001-07-11,0.00640657344422138,10241
2001-07-12,0.0229739833995041,10479
2001-07-13,0.00571889598025667,10539.1
2001-07-16,-0.00637757263680126,10472.1
2001-07-17,0.01274301466873,10606.4
2001-07-18,-0.00345671427773232,10569.8
2001-07-19,0.00379607439863402,10610
2001-07-23,-0.0176477405541537,10424.4
2001-07-24,-0.0177401763546927,10241.1
2001-07-26,0.0207286843260592,10455.6
2001-07-30,-0.00516846571569743,10401.7
2001-07-31,0.0115750772637662,10522.8
2001-08-01,-0.00121714670231335,10510
2001-08-02,0.0039124126406783,10551.2
2001-08-03,-0.00364603518224686,10512.8
2001-08-07,-0.00515939441707572,10458.7
2001-08-08,-0.0159215398629895,10293.5
2001-08-10,0.0118496584435248,10416.2
2001-08-13,-0.0000288017050630448,10415.9
2001-08-14,-0.000355289252396494,10412.2
2001-08-17,-0.0165984539935286,10240.8
2001-08-21,-0.00653446623167281,10174.1
2001-08-22,0.0100533828014153,10276.9
2001-08-23,-0.00465228259238058,10229.2
2001-08-24,0.0187877153694601,10423.2
2001-08-28,-0.019491830560497,10222
2001-08-29,-0.012908232733431,10090.9
2001-08-30,-0.0171234459218613,9919.58
2001-08-31,0.00303684353591134,9949.75
2001-09-04,0.00478663626156671,9997.49
